image_name,annotation_id,x_min,y_min,x_max,y_max
FudanPed00001.png,1,281,56,381,256
FudanPed00001.png,2,168,90,248,250
FudanPed00002.png,3,153,126,217,254
FudanPed00002.png,4,270,78,350,238
FudanPed00002.png,5,63,108,127,236
FudanPed00003.png,6,253,56,353,256
FudanPed00003.png,7,27,108,91,236
FudanPed00004.png,8,0,18,64,146
FudanPed00004.png,9,234,18,298,146
FudanPed00004.png,10,168,90,248,250
FudanPed00005.png,11,247,33,327,193
FudanPed00005.png,12,144,18,208,146
FudanPed00005.png,13,11,11,91,171
FudanPed00006.png,14,0,56,80,216
FudanPed00006.png,15,292,0,372,160
FudanPed00006.png,16,162,54,226,182
FudanPed00006.png,17,72,126,136,254
FudanPed00007.png,18,315,45,395,205
FudanPed00007.png,19,112,0,212,200
FudanPed00007.png,20,216,81,280,209
FudanPed00007.png,21,0,67,80,227
FudanPed00008.png,22,279,81,343,209
FudanPed00008.png,23,70,42,170,242
FudanPed00008.png,24,0,54,64,182
FudanPed00009.png,25,191,90,271,250
FudanPed00009.png,26,72,126,136,254
FudanPed00009.png,27,270,72,334,200
FudanPed00010.png,28,243,108,307,236
FudanPed00010.png,29,33,90,113,250
FudanPed00010.png,30,117,117,181,245
FudanPed00010.png,31,180,108,244,236
FudanPed00011.png,32,252,126,316,254
FudanPed00011.png,33,9,90,73,218
FudanPed00011.png,34,101,90,181,250
FudanPed00011.png,35,333,117,397,245
FudanPed00011.png,36,189,126,253,254
FudanPed00012.png,37,263,0,388,250
FudanPed00012.png,38,112,56,212,256
FudanPed00012.png,39,0,63,64,191
FudanPed00013.png,40,236,78,316,238
FudanPed00013.png,41,171,54,235,182
FudanPed00013.png,42,45,45,109,173
FudanPed00014.png,43,144,99,208,227
FudanPed00014.png,44,253,42,353,242
FudanPed00014.png,45,0,42,100,242
FudanPed00015.png,46,99,126,163,254
FudanPed00015.png,47,0,56,100,256
FudanPed00015.png,48,252,27,316,155
FudanPed00016.png,49,252,108,316,236
FudanPed00016.png,50,56,42,156,242
FudanPed00016.png,51,315,54,379,182
FudanPed00016.png,52,171,45,235,173
